player,avg_game_difference
Andre Agassi,0.0
Andy Roddick,2.5
Arnaud Clement,0.0
Bjorn Borg,5.0
Carlos Moya,1.0
David Nalbandian,2.0
Dominik Hrbaty,0.0
Felix Mantilla,0.0
Gaston Gaudio,1.0
Greg Rusedski,1.0
Igor Andreev,1.0
Ivo Karlovic,2.0
Juan Carlos Ferrero,6.0
Karol Kucera,2.5
Kim Warwick,1.6666666666666667
Lleyton Hewitt,1.0
Mario Ancic,0.0
Mario Martinez,2.5
Mikhail Youzhny,1.0
Mirza Basic,0.8
Nicolas Massu,0.0
Nikolay Davydenko,0.0
Olivier Rochus,0.0
Radek Stepanek,2.0
Rafael Nadal,0.0
Raymond Moore,0.0
Roger Federer,2.0
Scott Davis,5.0
Thomas Enqvist,1.0
Thomas Johansson,0.0
Tim Henman,0.0
Tommy Haas,1.0
